iter	Passed	Remaining
586	2213	1557
587	2217	1553
588	2220	1549
589	2224	1545
590	2227	1541
591	2231	1537
592	2234	1533
593	2238	1529
594	2241	1525
595	2245	1522
596	2248	1517
597	2252	1513
598	2255	1509
599	2258	1505
600	2262	1501
601	2265	1497
602	2268	1493
603	2272	1489
604	2275	1485
605	2279	1482
606	2282	1478
607	2286	1473
608	2289	1470
609	2293	1466
610	2296	1462
611	2299	1458
612	2303	1454
613	2306	1450
614	2309	1446
615	2313	1442
616	2316	1438
617	2319	1434
618	2323	1430
619	2326	1426
620	2330	1422
621	2333	1418
622	2336	1414
623	2340	1410
624	2344	1406
625	2347	1402
626	2351	1398
627	2354	1394
628	2357	1390
629	2361	1386
630	2364	1382
631	2367	1378
632	2371	1374
633	2374	1371
634	2378	1367
635	2381	1363
636	2386	1359
637	2390	1356
638	2394	1352
639	2398	1348
640	2401	1345
641	2405	1341
642	2408	1337
643	2411	1333
644	2415	1329
645	2418	1325
646	2422	1321
647	2426	1317
648	2429	1314
649	2433	1310
650	2437	1306
651	2440	1302
652	2444	1298
653	2447	1294
654	2450	1290
655	2454	1287
656	2458	1283
657	2462	1279
658	2466	1276
659	2469	1272
660	2473	1268
661	2477	1265
662	2481	1261
663	2486	1258
664	2490	1254
665	2494	1250
666	2498	1247
667	2503	1244
668	2507	1240
669	2511	1237
670	2516	1233
671	2520	1230
672	2524	1226
673	2527	1222
674	2531	1218
675	2534	1214
676	2538	1210
677	2541	1207
678	2544	1203
679	2548	1199
680	2551	1195
681	2555	1191
682	2558	1187
683	2562	1183
684	2565	1179
685	2568	1175
686	2572	1171
687	2575	1168
688	2579	1164
689	2583	1160
690	2586	1156
691	2590	1152
692	2593	1148
693	2597	1145
694	2600	1141
695	2603	1137
696	2607	1133
697	2611	1129
698	2614	1125
699	2618	1122
700	2621	1118
701	2625	1114
702	2628	1110
703	2632	1106
704	2635	1102
705	2639	1099
706	2642	1095
707	2646	1091
708	2649	1087
709	2653	1083
710	2656	1079
711	2660	1076
712	2663	1072
713	2667	1068
714	2671	1064
715	2674	1060
716	2678	1057
717	2682	1053
718	2685	1049
719	2689	1045
720	2692	1041
721	2696	1038
722	2699	1034
723	2703	1030
724	2706	1026
725	2710	1022
726	2714	1019
727	2717	1015
728	2721	1011
729	2724	1007
730	2727	1003
731	2731	1000
732	2734	996
733	2738	992
734	2741	988
735	2745	984
736	2748	980
737	2752	977
738	2756	973
739	2759	969
740	2763	965
741	2766	962
742	2770	958
743	2773	954
744	2777	950
745	2781	946
746	2784	943
747	2787	939
748	2791	935
749	2794	931
750	2798	927
751	2801	923
752	2805	920
753	2808	916
754	2811	912
755	2815	908
756	2818	904
757	2822	901
758	2825	897
759	2829	893
760	2832	889
761	2835	885
762	2839	881
763	2842	878
764	2846	874
765	2849	870
766	2852	866
767	2856	862
768	2859	858
769	2862	855
770	2866	851
771	2869	847
772	2873	843
773	2876	839
774	2880	836
775	2883	832
776	2887	828
777	2890	824
778	2893	821
779	2898	817
780	2901	813
781	2905	809
782	2908	806
783	2912	802
784	2915	798
785	2918	794
786	2922	790
787	2925	787
788	2929	783
789	2932	779
790	2936	775
791	2939	772
792	2943	768
793	2946	764
794	2950	760
795	2953	756
796	2957	753
797	2960	749
798	2964	745
799	2968	742
800	2971	738
801	2975	734
802	2978	730
803	2982	727
804	2985	723
805	2989	719
806	2994	716
807	2998	712
808	3002	708
809	3006	705
810	3010	701
811	3013	697
812	3017	694
813	3020	690
814	3024	686
815	3027	682
816	3031	678
817	3034	675
818	3038	671
819	3041	667
820	3045	663
821	3048	660
822	3052	656
823	3055	652
824	3059	648
825	3062	645
826	3066	641
827	3070	637
828	3073	634
829	3077	630
830	3080	626
831	3084	622
832	3087	619
833	3090	615
834	3094	611
835	3098	607
836	3101	604
837	3105	600
838	3108	596
839	3112	592
840	3115	589
841	3119	585
842	3123	581
843	3126	577
844	3130	574
845	3134	570
846	3138	566
847	3141	563
848	3144	559
849	3148	555
850	3151	551
851	3155	548
852	3158	544
853	3162	540
854	3165	536
855	3169	533
856	3172	529
857	3176	525
858	3180	522
859	3184	518
860	3187	514
861	3192	511
862	3195	507
863	3198	503
864	3202	499
865	3205	496
866	3209	492
867	3212	488
868	3216	484
869	3219	481
870	3223	477
871	3226	473
872	3230	469
873	3233	466
874	3237	462
875	3240	458
876	3244	454
877	3247	451
878	3251	447
879	3254	443
880	3258	440
881	3261	436
882	3264	432
883	3268	428
884	3271	425
885	3274	421
886	3278	417
887	3281	413
888	3285	410
889	3288	406
890	3292	402
891	3295	399
892	3299	395
893	3302	391
894	3305	387
895	3309	384
896	3312	380
897	3316	376
898	3319	372
899	3322	369
900	3326	365
901	3329	361
902	3332	358
903	3336	354
904	3339	350
905	3343	346
906	3346	343
907	3349	339
908	3353	335
909	3356	331
910	3359	328
911	3363	324
912	3366	320
913	3370	317
914	3374	313
915	3379	309
916	3383	306
917	3387	302
918	3390	298
919	3394	295
920	3397	291
921	3400	287
922	3404	284
923	3408	280
924	3411	276
925	3415	272
926	3418	269
927	3422	265
928	3425	261
929	3429	258
930	3432	254
931	3435	250
932	3439	246
933	3442	243
934	3445	239
935	3449	235
936	3452	232
937	3455	228
938	3459	224
939	3462	221
940	3466	217
941	3469	213
942	3473	209
943	3476	206
944	3479	202
945	3483	198
946	3486	195
947	3490	191
948	3493	187
949	3497	184
950	3500	180
951	3504	176
952	3507	172
953	3510	169
954	3514	165
955	3517	161
956	3521	158
957	3524	154
958	3527	150
959	3531	147
960	3535	143
961	3538	139
962	3542	136
963	3545	132
964	3548	128
965	3552	125
966	3555	121
967	3559	117
968	3563	113
969	3566	110
970	3569	106
971	3573	102
972	3576	99
973	3580	95
974	3583	91
975	3586	88
976	3590	84
977	3593	80
978	3597	77
979	3600	73
980	3604	69
981	3608	66
982	3611	62
983	3615	58
984	3619	55
985	3622	51
986	3626	47
987	3629	44
988	3633	40
989	3636	36
990	3640	33
991	3643	29
992	3647	25
993	3651	22
994	3654	18
995	3658	14
996	3661	11
997	3665	7
998	3668	3
999	3672	0
